Year,Rank,City Name,Airport Code,Total Passengers,% Change
2007,1,ATLANTA GA,ATL,89379287,5.3
2007,2,CHICAGO IL,ORD,76177855,-0.1
2007,3,LONDON,LHR,68068304,0.8
2007,4,TOKYO,HND,66823414,1.1
2007,5,LOS ANGELES CA,LAX,61896075,1.4
2007,6,PARIS,CDG,59922177,5.4
2007,7,DALLAS/FORT WORTH TX,DFW,59786476,-0.7
2007,8,FRANKFURT,FRA,54161856,2.6
2007,9,BEIJING,PEK,53583664,10.1
2007,10,MADRID,MAD,52122702,13.9
2007,11,DENVER CO,DEN,49863352,5.4
2007,12,AMSTERDAM,AMS,47794994,3.8
2007,13,NEW YORK NY,JFK,47716941,11.9
2007,14,"HONG KONG, CHINA",HKG,47042419,7.3
2007,15,LAS VEGAS NV,LAS,46961011,3.2
2007,16,HOUSTON TX,IAH,42998040,1.1
2007,17,PHOENIX AZ,PHX,42184515,1.8
2007,18,BANGKOK,BKK,41210081,-3.7
2007,19,SINGAPORE,SIN,36701556,4.8
2007,20,ORLANDO FL,MCO,36480416,5.3
2007,21,NEWARK NJ,EWR,36367240,2.1
2007,22,DETROIT MI,DTW,35983478,0.0
2007,23,SAN FRANCISCO CA,SFO,35792707,6.6
2007,24,TOKYO,NRT,35478146,1.4
2007,25,LONDON,LGW,35218374,3.1
2007,26,MINNEAPOLIS MN,MSP,35157322,-1.3
2007,27,DUBAI,DXB,34348110,19.3
2007,28,MUNICH,MUC,33959422,10.4
2007,29,MIAMI FL,MIA,33740416,3.7
2007,30,CHARLOTTE NC,CLT,33165688,11.7
2008,1,ATLANTA GA,ATL,90039280,0.7
2008,2,CHICAGO IL,ORD,69353876,-9.0
2008,3,LONDON,LHR,67056379,-1.5
2008,4,TOKYO,HND,66754829,-0.2
2008,5,PARIS,CDG,60874681,1.6
2008,6,LOS ANGELES CA,LAX,59497539,-4.7
2008,7,DALLAS/FORT WORTH TX,DFW,57093187,-4.5
2008,8,BEIJING,PEK,55937289,4.4
2008,9,FRANKFURT,FRA,53467450,-1.3
2008,10,DENVER CO,DEN,51245334,2.8
2008,11,MADRID,MAD,50824435,-2.4
2008,12,HONG KONG,HKG,47857746,1.7
2008,13,NEW YORK NY,JFK,47807816,0.2
2008,14,AMSTERDAM,AMS,47430019,-0.8
2008,15,LAS VEGAS NV,LAS,43208724,-8.0
2008,16,HOUSTON TX,IAH,41709389,-3.0
2008,17,PHOENIX AZ,PHX,39891193,-5.4
2008,18,BANGKOK,BKK,38603490,-6.3
2008,19,SINGAPORE,SIN,37694824,2.7
2008,20,DUBAI,DXB,37441440,9.0
2008,21,SAN FRANCISCO CA,SFO,37234592,4.7
2008,22,ORLANDO FL,MCO,35660742,-2.3
2008,23,NEWARK NJ,EWR,35360848,-2.8
