Month,Total nonfarm,Manufacturing
1999-06-01,"129,099","17,295"
1999-07-01,"129,420","17,308"
1999-08-01,"129,576","17,287"
1999-09-01,"129,781","17,281"
1999-10-01,"130,190","17,272"
1999-11-01,"130,479","17,282"
1999-12-01,"130,786","17,280"
2000-01-01,"131,020","17,284"
2000-02-01,"131,136","17,285"
2000-03-01,"131,609","17,302"
2000-04-01,"131,900","17,298"
2000-05-01,"132,118","17,279"
2000-06-01,"132,079","17,296"
2000-07-01,"132,247","17,322"
2000-08-01,"132,240","17,287"
2000-09-01,"132,364","17,230"
2000-10-01,"132,365","17,217"
2000-11-01,"132,570","17,202"
2000-12-01,"132,722","17,181"
2001-01-01,"132,712","17,104"
2001-02-01,"132,804","17,028"
2001-03-01,"132,761","16,938"
2001-04-01,"132,475","16,802"
2001-05-01,"132,426","16,661"
2001-06-01,"132,312","16,515"
2001-07-01,"132,187","16,382"
2001-08-01,"132,043","16,232"
2001-09-01,"131,791","16,117"
2001-10-01,"131,468","15,972"
2001-11-01,"131,158","15,825"
2001-12-01,"130,997","15,711"
2002-01-01,"130,868","15,587"
2002-02-01,"130,752","15,515"
2002-03-01,"130,732","15,443"
2002-04-01,"130,636","15,392"
2002-05-01,"130,647","15,337"
2002-06-01,"130,695","15,298"
2002-07-01,"130,604","15,256"
2002-08-01,"130,603","15,171"
2002-09-01,"130,524","15,119"
2002-10-01,"130,643","15,060"
2002-11-01,"130,632","14,992"
2002-12-01,"130,488","14,912"
2003-01-01,"130,596","14,866"
2003-02-01,"130,461","14,781"
2003-03-01,"130,246","14,721"
2003-04-01,"130,194","14,609"
2003-05-01,"130,210","14,557"
2003-06-01,"130,209","14,493"
2003-07-01,"130,207","14,402"
2003-08-01,"130,167","14,376"
2003-09-01,"130,279","14,347"
2003-10-01,"130,473","14,334"
2003-11-01,"130,490","14,316"
2003-12-01,"130,605","14,300"
2004-01-01,"130,787","14,290"
2004-02-01,"130,844","14,279"
2004-03-01,"131,156","14,287"
2004-04-01,"131,426","14,315"
2004-05-01,"131,710","14,342"
2004-06-01,"131,807","14,332"
2004-07-01,"131,864","14,330"
2004-08-01,"131,955","14,345"
2004-09-01,"132,112","14,331"
2004-10-01,"132,466","14,332"
