DATE,AMTMNO
1992-02-01,223500
1992-03-01,233732
1992-04-01,238173
1992-05-01,241916
1992-06-01,240660
1992-07-01,238609
1992-08-01,235633
1992-09-01,239052
1992-10-01,242803
1992-11-01,240286
1992-12-01,244173
1993-01-01,239924
1993-02-01,247176
1993-03-01,245506
1993-04-01,244703
1993-05-01,245194
1993-06-01,249521
1993-07-01,245765
1993-08-01,246562
1993-09-01,245731
1993-10-01,251656
1993-11-01,247827
1993-12-01,250057
1994-01-01,257125
1994-02-01,256624
1994-03-01,257190
1994-04-01,260006
1994-05-01,263419
1994-06-01,267027
1994-07-01,267694
1994-08-01,269994
1994-09-01,270377
1994-10-01,275087
1994-11-01,276477
1994-12-01,282738
1995-01-01,279692
1995-02-01,284915
1995-03-01,282195
1995-04-01,283370
1995-05-01,282955
1995-06-01,281900
1995-07-01,281269
1995-08-01,285979
1995-09-01,293326
1995-10-01,287568
1995-11-01,287704
1995-12-01,297684
1996-01-01,285822
1996-02-01,277940
1996-03-01,298862
1996-04-01,290320
1996-05-01,298700
1996-06-01,299606
1996-07-01,298909
1996-08-01,293231
1996-09-01,302015
1996-10-01,301595
1996-11-01,309537
1996-12-01,300179
1997-01-01,300765
1997-02-01,310604
1997-03-01,307465
1997-04-01,313694
1997-05-01,308733
1997-06-01,315090
1997-07-01,318485
1997-08-01,319106
1997-09-01,318687
1997-10-01,319565
1997-11-01,334896
1997-12-01,315121
1998-01-01,315893
1998-02-01,322715
1998-03-01,317454
1998-04-01,320388
1998-05-01,320787
1998-06-01,311219
1998-07-01,308769
1998-08-01,318026
1998-09-01,319546
1998-10-01,315959
1998-11-01,319291
1998-12-01,315467
1999-01-01,324278
1999-02-01,324617
1999-03-01,322604
1999-04-01,321414
1999-05-01,325581
1999-06-01,323793
1999-07-01,330548
1999-08-01,332510
1999-09-01,333492
1999-10-01,341407
1999-11-01,334281
1999-12-01,344248
2000-01-01,350725
2000-02-01,331991
2000-03-01,344182
2000-04-01,347917
2000-05-01,340085
2000-06-01,374700
2000-07-01,343351
2000-08-01,340728
2000-09-01,354557
2000-10-01,339610
2000-11-01,343578
2000-12-01,343858
2001-01-01,331600
2001-02-01,335205
2001-03-01,333486
2001-04-01,321890
2001-05-01,329643
2001-06-01,324044
2001-07-01,318401
2001-08-01,321838
2001-09-01,311821
2001-10-01,318537
2001-11-01,310008
2001-12-01,311731
2002-01-01,307977.0
2002-02-01,317481.0
2002-03-01,315160.0
2002-04-01,319110.0
2002-05-01,321471.0
2002-06-01,316320.0
2002-07-01,320937.0
2002-08-01,326896.0
2002-09-01,319466.0
2002-10-01,320658.0
2002-11-01,322463.0
2002-12-01,316933.0
2003-01-01,323882.0
2003-02-01,330320.0
2003-03-01,330437.0
2003-04-01,321380.0
2003-05-01,324549.0
2003-06-01,328625.0
2003-07-01,329530.0
2003-08-01,330322.0
2003-09-01,336048.0
2003-10-01,342054.0
2003-11-01,339229.0
2003-12-01,340507.0
2004-01-01,339193.0
2004-02-01,341261.0
2004-03-01,354358.0
2004-04-01,349488.0
2004-05-01,351373.0
2004-06-01,354635.0
2004-07-01,356710.0
2004-08-01,355629.0
2004-09-01,361042.0
2004-10-01,364476.0
2004-11-01,373177.0
2004-12-01,373419.0
2005-01-01,378937.0
2005-02-01,381880.0
2005-03-01,374642.0
2005-04-01,385450.0
2005-05-01,395916.0
2005-06-01,400506.0
2005-07-01,386590.0
2005-08-01,401287.0
2005-09-01,404154.0
2005-10-01,409487.0
2005-11-01,421486.0
2005-12-01,422981.0
2006-01-01,415824.0
2006-02-01,421074.0
2006-03-01,430457.0
2006-04-01,418625.0
2006-05-01,423472.0
2006-06-01,427440.0
2006-07-01,416849.0
2006-08-01,418759.0
2006-09-01,435776.0
2006-10-01,415798.0
2006-11-01,426451.0
2006-12-01,437894.0
2007-01-01,425631.0
2007-02-01,432585.0
2007-03-01,442385.0
2007-04-01,444963.0
2007-05-01,445591.0
2007-06-01,446665.0
2007-07-01,451939.0
2007-08-01,451852.0
2007-09-01,448446.0
2007-10-01,457565.0
